,Mean,Std
1,187.9389889,169.0576128
2,168.190583,152.5808127
3,161.1812711,145.1445988
4,233.3688264,217.0864919
5,199.2863439,178.2106835
6,185.8537713,167.3352459
7,172.4211987,157.8345435
8,165.4140246,150.5532759
9,158.4068505,143.8898792
10,156.0464158,139.7079678
11,266.5605842,261.6544621
12,228.7229387,215.5965943
13,190.8852931,170.4348688
14,183.7685538,166.1259962
15,176.6518145,163.6847993
16,169.6467782,156.431672
17,162.6417419,149.6967375
18,159.3277926,145.5852528
19,285.7537005,284.9169529
20,245.2011999,235.7598412
21,218.2493697,203.0597917
22,191.2975395,170.8107965
23,183.2165248,164.0500254
24,175.1355102,158.0604346
25,169.4493507,153.9826601
26,163.7631913,150.6233374
27,159.9204557,146.280167
28,156.0777202,142.2820795
29,206.1539167,213.2299423
30,221.0819606,225.7959242
31,287.4452946,287.348829
32,255.6435551,248.8172089
33,223.8418156,210.7470755
34,207.7758008,191.3276786
35,191.7097859,172.1221696
36,182.6644958,162.4870582
37,173.6192058,153.11878
38,169.2519232,151.9960713
39,164.8846407,151.9585449
40,160.5131188,147.3176636
41,156.1415969,143.0442297
42,154.4412708,140.7898684
43,207.9139892,224.3380249
44,210.9229385,223.1066838
45,213.9318878,222.9353154
46,220.6438265,226.3754051
47,227.3557652,230.6451203
48,235.4771964,237.9366034
49,243.5986276,245.7170243
50,252.9763814,255.7521323
51,262.3541353,266.2039597
52,264.7309106,266.3437442
53,267.1076859,267.087735
54,254.9925588,252.7710976
55,242.8774316,238.9613717
56,224.9658191,217.3839621
57,207.0542065,196.043579
58,197.3385904,182.5486948
59,187.6229742,169.2566101
60,181.6515791,161.849979
61,175.6801841,154.6799599
62,172.4374848,152.8577403
63,169.1947855,151.6259509
64,164.8150571,148.08363
65,160.4353287,144.8720718
66,155.7188613,140.9236877
67,219.0299672,241.7861814
68,225.6444241,245.7011472
69,223.6771415,238.9708132
70,221.7098588,233.2062929
71,220.2056924,227.4708825
72,218.701526,222.6257104
73,218.0748229,220.1065898
74,217.4481198,218.0097822
75,212.2916343,211.8481291
76,207.1351489,205.9770331
77,201.9723949,198.6410579
78,196.809641,191.5738608
79,197.5596048,191.5490158
80,198.3095685,191.7743743
81,194.288083,187.0166238
82,190.2665974,182.4304326
83,186.9013799,174.584789
84,183.5361624,167.008765
85,180.6386624,161.7205933
86,177.7411623,156.6802929
87,175.6230463,154.1418353
88,173.5049303,151.9514234
89,169.1169954,149.4228783
90,164.7290605,147.2624577
91,156.9964519,141.5019849
92,215.2416338,242.1104162
93,220.3867789,243.5549772
94,225.531924,245.6876793
95,224.1143154,239.6783143
96,222.6967069,234.4405919
97,220.1106381,228.1264468
98,217.5245692,222.5386201
99,216.3730293,219.4583761
100,215.2214895,216.8283667
101,210.0535908,210.4595226
102,204.8856921,204.3154503
103,200.3246955,198.0061882
104,195.7636989,191.8605839
105,192.8592604,187.7542747
106,189.954822,183.8041787
107,186.2313981,178.7688755
108,182.5079742,173.8646069
109,180.9461806,168.5263416
110,179.384387,163.3967504
111,178.4810356,159.8818013
112,177.5776842,156.6368942
113,177.5643146,155.3873144
114,177.550945,154.4513316
115,175.0557094,152.8424266
116,172.5604738,151.5567324
117,161.5649665,143.9504724
118,150.5694591,136.7805113
119,195.7358728,225.4654954
120,206.901815,235.401779
121,218.0677573,245.8908617
122,221.7435906,245.7114211
123,225.4194238,246.1949286
124,224.5514894,241.0249926
125,223.683555,236.5260828
126,220.0155837,229.539477
127,216.3476124,223.2847442
128,214.6712358,219.5187626
129,212.9948592,216.3448133
130,207.8155472,209.6628804
131,202.6362353,203.1932862
132,198.676996,197.7945008
133,194.7177567,192.5251198
134,188.1589161,184.3334531
135,181.6000754,176.2744694
136,178.1747132,170.9131667
137,174.749351,165.6977477
138,174.9909813,162.8285899
139,175.2326116,160.1507268
140,176.3234088,158.4050166
141,177.414206,156.9622824
142,179.5055828,157.0081031
143,181.5969597,157.3930572
144,180.9944234,156.7297099
145,180.3918871,156.3940041
146,166.133481,146.8040985
147,151.8750749,137.7524005
148,150.5921764,136.6050331
149,181.529514,209.4236685
150,185.8580105,212.8113771
151,193.6111628,219.1303673
152,201.364315,225.8988552
153,198.0056374,219.0151801
154,177.3432275,176.4636056
155,170.2618506,168.2232855
156,170.8619593,165.9996765
157,171.4620681,163.9419539
158,170.2360355,160.0971166
159,169.0100028,156.4625687
160,170.4989884,154.9783409
161,171.9879739,153.8074063
162,176.1985719,155.0984525
163,180.4091698,156.7639813
164,181.4022857,157.0928149
165,182.3954016,157.7125585
166,173.613608,151.7998999
167,164.8318143,146.2170411
168,161.0148215,143.4604459
169,157.1978288,140.8927516
170,157.1031367,141.7996183
171,179.3619236,206.7042393
172,175.9801482,200.9767049
173,180.3205105,203.6256239
174,184.6608728,206.7343807
175,166.5275389,169.290541
176,158.9236257,160.9607636
177,163.5492055,161.7265584
178,168.1747853,162.7334293
179,165.4810897,157.9074905
180,162.787394,153.3520337
181,164.674568,152.03277
182,166.5617419,151.0623865
183,172.8915609,153.5168081
184,179.2213799,156.4223131
185,181.810148,157.7336978
186,184.3989161,159.3534652
187,181.0937349,157.132472
188,177.7885537,155.1673663
189,171.4374667,150.7088249
190,165.0863798,146.4856267
191,160.0273942,143.1225156
192,154.9684086,139.9759206
193,143.0232272,129.9476977
194,131.0780459,120.1641854
195,129.5392052,119.1993744
196,140.2876113,161.5546458
197,136.2631184,155.0004527
198,142.2277742,160.9671862
199,148.19243,167.2444516
200,152.5365243,159.6097958
201,142.8162885,149.3879756
202,133.0960528,139.2762597
203,140.0516508,142.8734768
204,147.0072487,146.6867109
205,149.9811075,146.4884728
206,152.9549663,146.5317671
207,156.3072671,146.3588178
208,159.6595679,146.528838
209,163.9712165,147.6821209
210,168.2828651,149.2122433
211,172.0638978,150.9109871
212,175.8449306,152.8828989
213,174.8616696,152.0298702
214,173.8784087,151.3351189
215,168.634858,147.8430247
216,163.3913073,144.543475
217,157.6523397,140.4556589
218,151.9133722,136.5501281
219,133.985727,121.4077705
220,116.0580818,106.5438642
221,118.6974478,109.1603512
222,96.54608863,109.572125
223,104.135038,118.776947
224,111.7239873,128.220988
225,130.9415964,142.1186662
226,119.1050382,130.0652933
227,107.26848,118.182816
228,116.554096,124.5891641
229,125.8397121,131.2417622
230,134.4811254,135.5027401
231,143.1225386,140.0420679
232,147.9399663,140.9636793
233,152.757394,142.2389062
234,155.0508722,142.0844637
235,157.3443504,142.254061
236,162.3176477,144.267142
237,167.290945,146.5604518
238,168.6296044,147.0620781
239,169.9682637,147.6782904
240,165.8322492,145.1298564
241,161.6962347,142.7821722
242,155.2772853,137.9428255
243,148.8583358,133.2866009
244,124.9482267,113.0019315
245,101.0381177,93.06441208
246,107.8556904,99.27533197
247,114.6732631,105.6801817
248,95.83982047,111.9056514
249,98.46523715,114.677697
250,101.0906538,117.8123687
251,102.4621031,110.8099292
252,113.6649475,118.3786844
253,124.8677919,126.2513816
254,129.8238066,127.6369596
255,134.7798213,129.3048997
256,137.7482452,129.6678065
257,140.716669,130.300168
258,147.8370678,133.758553
259,154.9574666,137.4687994
260,153.2996948,135.7939797
261,151.6419229,134.2217989
262,149.858662,132.8279824
263,148.0754011,131.5662892
264,138.288861,123.9479935
265,128.5023209,116.5067537
266,112.2892954,102.7204037
267,96.07626981,89.15988636
268,96.3663242,89.51214695
269,96.65637859,89.99953364
270,79.08449414,90.87320861
271,92.84876966,101.5869026
272,106.6130452,112.7248307
273,111.7076469,114.56356
274,116.8022486,116.6376156
275,120.4456181,117.5097233
276,124.0889877,118.6126508
277,133.356488,123.4808049
278,142.6239882,128.6084419
279,137.9697851,124.7701983
280,133.3155821,121.0672304
281,133.8850748,120.7344846
282,134.4545674,120.5276723
283,121.3004367,110.114904
284,108.146306,99.90435813
285,99.63036398,92.56563487
286,91.11442193,85.36731007
287,84.87695802,79.87525213
288,78.63949411,74.49910834
289,87.78275505,95.85946019
290,91.76880593,97.39753684
291,95.75485681,99.12184036
292,100.2942409,101.3123753
293,104.8336251,103.7266837
294,117.1033173,111.3320624
295,129.3730096,119.198674
296,122.7055094,113.6668915
297,116.0380092,108.2350236
298,115.6444766,107.0640595
299,115.2509439,105.9758914
300,105.0942952,97.69269036
301,94.93764647,89.56126468
302,88.43251961,83.71338902
303,81.92739275,77.98840075
304,74.70746506,81.93111079
305,80.14286374,85.39875715
306,85.57826241,89.13397006
307,100.8501467,99.437668
308,116.1220311,110.0509591
309,107.4412337,102.7897468
310,98.76043635,95.67297707
311,97.4038784,93.63350432
312,96.04732044,91.66748618
313,88.88815368,85.46584085
314,81.72898692,79.3744184
315,77.23467525,74.982789
316,75.89130566,80.63156032
317,83.97677683,85.81011928
318,92.06224799,91.16270962
319,91.2759255,89.99517248
320,90.489603,88.88848134
321,87.98415004,85.9724597
322,85.47869708,83.1258022
323,79.03422238,77.37853323
324,72.58974768,71.73154868
325,69.70567151,68.67998524
326,67.10340691,72.40851361
327,68.00246492,72.68013403
328,75.11061728,77.38657381
329,82.21876965,82.21514786
330,78.56442168,78.41881399
331,74.91007372,74.70526477
332,69.18029108,69.40101783
333,63.45050843,64.2208156
334,62.17666777,62.49649829
335,62.36817137,63.46512005
